year,unique_id,response_id,interview_start,interview_end,source,postcode,NRM verified,NRM code,age,gender,describe_reef1,describe_reef2,describe_reef3,visited_reef,visit_freq,rec_jetskiown_7cat,rec_jetskihired_7cat,rec_boatingown_7cat,rec_boatinghire_7cat,rec_fishingoffshore_cat,rec_fishingonshore_7cat,rec_nonmotorown_7cat,rec_nonmotorhire_7cat,rec_inwater_7cat,rec_islandvisit_7cat,rec_beachvisit_7cat,rec_wildlife_7cat,rec_research_7cat,rec_cultural_7cat,rec_community_7cat,GBR_rec,GBR_phys,GBR_unwind,GBR_social,GBR_nature,GBR_recreation,GBR_wellbeing,actions_helpGBR,actions_helpGBR_open,GBRbp_advocacyfish,GBRbp_rubbish,GBRbp_app,GBRbp_report,values_biodiversity,values_exist,values_bequest,values_icon,values_recognition,values_provision,values_science,values_indigenous,values_heritage,values_spiritual,values_economy,values_social,values_recreation,values_nature,threat1,threat2,threat3,threat_cots,threat_fishing,threat_runoff,threat_rubbish,threat_cc,threat_tourism,threat_devt,threat_ports,threat_mining,threat_popn,threat_mgmt,threat_weather,threat_heatwaves,threat_bleaching,cc_belief,inter_zoning,inter_fishclosures,inter_culling,inter_coralrestore,inter_citizen,inter_coastrestore,inter_islandrestore,inter_illfish,inter_coraladapt,inter_water,inter_rubbish,inter_indig,inter_rec,inter_carbon,inter_fishing,desc_norm,shared_resp,moral_oblig,pers_diff,procedural_knowl,general_motivation,support_rules,society_oblig,injunc_norm,steward_identity,steward_respect,dm_understanding,dm_procfair,dm_distfair,dm_equity,trust_dm,sat_mgmt,benefit_mgmt,pride_mgmt,resp_dcceew,resp_aims,resp_detsi,resp_gbrmpa,resp_council,resp_dpi,resp_dk,priority_fish,priority_lowimpact,priority_TO,priority_supply,priority_jobs,priority_recfishing,attach_love,attach_meaning,attach_GBR,attach_depend,place_identity,pride,GBRh_change,hope,sad,aesthetics,GBRh_overall,trust_reefscience,reef_fatigue,GBR_income,GBR_business,impact_desire,impact_finance,impact_lifestyle,impact_wellbeing,impact_grief,trust_ausgov,trust_reeftrust,trust_qldgov,trust_rwqp,trust_council,trust_family,trust_colleagues,trust_gbrmpa,trust_science,trust_ausngo,trust_paper,trust_tv,trust_citizen,trust_socials,qld_years,atsi,educ,emp_status,sector,ag_commodity1,ag_commodity2,ag_commodity3,ag_commodity4,ag_commodity5,ag_commodity_other,ag_commodity_open,ag_participation,ag_program1,ag_program2,ag_program3,ag_program4,ag_program5,ag_program_other,ag_program_dk,ag_program_open,ag_noprogram,dist_beach,endcomment,intdur,Distance to Coast (km)
5,250001,6,2025-11-17T12:57:00Z,2025-11-17T13:04:00Z,1,4671,Burnett Mary,6,25,2,Queensland,Fish,Ocean,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8,8,7,8,7,6,7,5,8,7,7,7,6,7,Climate change,Fishing,Pollution,9,3,3,3,4,9,3,3,9,9,9,3,3,4,1,7,7,7,9,7,9,8,7,9,8,7,5,99,7,99,99,99,99,99,99,5,99,6,99,5,99,99,99,99,6,99,99,99,99,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,NA,NA,6,5,5,5,5,5,4,6,6,7,5,5,5,1,NA,4,2,4,4,6,5,99,5,99,5,5,99,99,99,99,99,99,99,5,25,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.2333,48.9
5,250002,7,2025-11-17T12:59:00Z,2025-11-17T13:12:00Z,1,4650,Burnett Mary,6,63,1,spectacular,threatened,exploited,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,1,4,2,2,4,NA,9,5,9,9,9,8,7,7,8,3,7,7,3,7,8,5,8,8,crown of thorns,bleaching,run off,5,4,4,4,5,3,4,4,4,4,1,5,5,5,1,9,8,9,9,8,9,9,10,9,10,10,8,10,10,9,99,8,9,7,7,99,9,10,99,3,99,6,8,99,99,7,8,99,8,2,3,NA,1,NA,NA,0,3,1,NA,2,NA,NA,5,2,1,1,1,9,1,7,5,8,5,8,7,1,NA,1,1,1,1,4,7,8,7,8,8,8,99,8,8,8,7,7,8,1,30,1,5,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,12.5333,22.22
5,250003,8,2025-11-17T13:00:00Z,2025-11-17T13:09:00Z,1,4805,Burdekin,3,70,1,Unique,Beautiful,Vibrant,1,2,1,1,3,3,3,2,3,3,3,1,1,2,1,1,1,7,7,8,7,8,7,7,2,Pick up litter on the side of the road near water ways and beaches,5,4,4,3,10,10,10,10,10,10,10,9,10,9,10,9,10,10,Global warming,Farm runoff,Poor fishing boating practices,5,5,5,5,5,3,3,3,3,4,1,5,4,5,1,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,2,7,10,10,10,7,10,2,6,7,7,7,7,7,7,7,3,1,NA,2,NA,NA,0,2,1,NA,NA,3,NA,10,10,10,10,10,10,3,9,10,10,6,10,2,1,NA,6,8,10,10,10,9,9,8,9,7,7,7,8,9,8,7,7,9,4,50,1,5,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9.4833,8.49
5,250005,10,2025-11-17T13:05:00Z,2025-11-17T13:19:00Z,1,4655,Burnett Mary,6,78,1,East Coast of Australia,great tourist attraction,ocean temperature rising,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8,9,9,9,9,7,8,6,7,6,9,8,7,8,coral bleaching,star of thorns,global warming,4,4,4,4,4,4,3,3,4,3,9,4,4,4,3,8,8,9,9,7,8,8,8,8,8,8,7,8,8,8,5,99,5,9,5,5,8,8,5,5,5,6,5,99,99,7,8,3,7,NA,2,3,1,NA,NA,0,1,3,NA,NA,2,NA,3,3,3,3,3,5,1,8,5,8,5,5,4,1,NA,1,1,1,1,3,5,6,6,5,5,99,99,5,5,5,4,4,5,4,20,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14.0333,3.16
5,250006,12,2025-11-17T13:12:00Z,2025-11-17T13:30:00Z,1,4814,Burdekin,3,50,1,Coral,Fish,Stuffed,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,7,6,1,9,6,4,4,NA,1,5,1,1,10,7,1,4,8,2,6,1,5,1,6,1,5,8,Heat,Crown of thorns,People,5,3,5,3,5,3,4,4,4,3,3,5,5,5,1,9,9,8,9,8,9,8,9,9,9,10,4,8,10,9,9,8,9,9,7,8,9,9,8,7,6,3,6,5,99,9,5,3,5,NA,2,3,1,NA,NA,0,1,3,NA,NA,NA,2,5,5,1,3,4,5,1,2,7,7,2,8,3,1,NA,3,1,2,3,4,10,8,9,8,9,7,99,10,10,9,6,8,9,1,0,1,6,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Why are you assuming I work? I'm retired.,18.4,7.79
5,250007,13,2025-11-17T13:12:00Z,2025-11-17T13:24:00Z,1,4655,Burnett Mary,6,64,1,Disaster,Dying,Sad,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,9,8,7,10,10,7,8,9,8,8,9,8,9,8,Run off from the land including herbicides and pesticides and fertilizers,Crown fish I think that they are called,"Run off from towns, boats and ships",5,5,5,5,5,4,5,5,5,4,3,4,5,5,1,8,8,9,9,9,8,9,8,8,8,9,9,9,9,9,8,8,9,9,8,7,9,10,8,9,8,9,7,7,8,8,8,7,7,NA,NA,3,1,NA,2,0,3,1,2,NA,NA,NA,9,8,9,7,9,9,1,8,9,8,9,8,7,1,NA,7,5,6,8,9,8,7,5,7,3,6,99,7,9,8,5,6,7,2,8,1,7,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,I'm disabled and can't travel to the gbr and can barely leave my home ?,11.55,3.16
5,250008,16,2025-11-17T13:26:00Z,2025-11-17T13:44:00Z,1,4878,Wet Tropics,2,75,1,Exploited,Poorly managed,Fragile,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,3,2,4,NA,1,5,1,3,8,9,2,9,10,8,6,1,8,1,5,6,8,5,Polition,Overfishing,Taking of what they want when they want just because they call themselves abos,3,3,5,4,2,2,5,2,2,3,3,9,4,3,4,5,6,5,5,7,10,10,7,6,9,10,1,5,2,10,6,9,5,99,8,9,5,8,4,6,2,5,3,5,2,2,2,1,2,NA,NA,3,1,NA,2,0,NA,1,NA,2,NA,3,5,5,4,5,5,5,2,4,3,9,5,2,10,1,NA,5,1,5,2,2,1,2,1,2,2,1,1,1,5,1,1,1,1,1,36,1,5,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17.7167,0.73
5,250009,17,2025-11-17T13:28:00Z,2025-11-17T13:39:00Z,1,4870,Wet Tropics,2,59,2,Beautiful,Unique,Fish,1,5,1,1,1,1,1,1,1,1,3,1,4,7,1,1,1,5,8,8,8,9,8,8,4,NA,9,5,1,9,10,10,5,6,7,8,7,5,5,5,7,8,7,10,Climate change,Toxic runoff,Over fishing,4,4,4,4,5,4,5,5,3,4,1,5,5,5,1,10,10,10,10,7,10,10,10,10,10,10,6,9,10,9,7,10,10,1,8,10,10,10,7,10,3,5,10,99,5,10,7,7,7,NA,NA,2,1,3,NA,0,1,2,NA,3,NA,NA,10,10,7,8,7,10,1,7,10,9,3,10,1,1,NA,1,1,10,9,10,7,99,7,7,7,5,99,10,10,7,2,2,8,1,25,1,5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.4167,4.3
5,250011,19,2025-11-17T13:31:00Z,2025-11-17T13:47:00Z,1,4737,Fitzroy,5,46,2,dying,wonder of the world,precious,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,4,6,4,2,4,NA,1,5,1,1,10,10,4,10,9,9,7,7,6,8,10,6,10,10,climate change,plastics (pollution),boats propellors,5,4,4,5,5,4,4,5,4,4,4,5,5,5,1,10,10,10,9,9,8,7,9,10,10,10,6,10,10,10,1,10,4,5,2,10,10,10,3,2,1,3,4,2,2,2,2,1,2,1,NA,3,2,NA,NA,0,2,1,NA,NA,NA,3,10,9,9,3,3,10,1,2,10,10,4,9,1,1,NA,4,1,1,4,10,5,5,5,7,7,7,2,8,9,8,6,5,8,2,32,1,5,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,16.0333,14.29
5,250012,20,2025-11-17T13:33:00Z,2025-11-17T13:47:00Z,1,4810,Burdekin,3,73,2,Beautiful,Stunning,Fish,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,6,6,4,5,4,NA,1,9,9,1,10,8,5,10,10,9,5,5,7,8,8,7,8,7,Don't know,Can't say,Not sure,2,2,9,9,1,1,9,9,1,9,9,9,2,9,5,7,7,7,6,99,99,99,7,99,2,7,1,6,99,6,7,5,5,8,2,6,99,8,7,2,99,2,99,5,99,99,5,99,99,NA,2,NA,1,NA,3,0,3,NA,NA,2,1,NA,6,7,4,2,3,9,4,8,2,10,9,5,5,1,NA,1,2,2,2,5,1,99,8,99,99,8,99,6,7,99,6,6,99,5,51,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,14.4833,2.02
