date,region,sst,sst_anomaly,hotspot,dhw,baa
1985-01-01,Central,28.07,0.6058,0.12,0.0,0.0
1985-01-01,Northern,28.69,0.5165,0.13,0.0,0.0
1985-01-01,Southern,27.66,0.6313,0.13,0.0,0.0
1985-01-02,Central,28.01,0.5865,0.1,0.0,0.0
1985-01-02,Northern,28.67,0.4474,0.08,0.0,0.0
1985-01-02,Southern,27.56,0.5803,0.1,0.0,0.0
1985-01-03,Central,28.01,0.4874,0.06,0.0,0.0
1985-01-03,Northern,28.85,0.5271,0.11,0.0,0.0
1985-01-03,Southern,27.66,0.5374,0.1,0.0,0.0
1985-01-04,Central,27.97,0.4903,0.04,0.0,0.0
1985-01-04,Northern,28.98,0.609,0.21,0.0,0.0
1985-01-04,Southern,27.16,0.6365,0.13,0.0,0.0
1985-01-05,Central,28.07,0.5616,0.13,0.0,0.0
1985-01-05,Northern,29.85,1.4794,1.06,0.0,0.0
1985-01-05,Southern,28.03,1.2606,0.88,0.0,0.0
1985-01-06,Central,29.48,1.3035,0.98,0.0,0.0
1985-01-06,Northern,29.35,1.0135,0.61,0.0,0.0
1985-01-06,Southern,27.21,1.411,0.7,0.0,0.0
1985-01-07,Central,29.25,1.1906,0.88,0.0,0.0
1985-01-07,Northern,29.16,0.7865,0.42,0.0,0.0
1985-01-07,Southern,27.4,1.2819,0.76,0.0,0.0
1985-01-08,Central,28.7,0.9339,0.62,0.0,0.0
1985-01-08,Northern,29.14,0.6997,0.35,0.0,0.0
1985-01-08,Southern,27.44,1.3887,0.75,0.0,0.0
1985-01-09,Central,28.76,1.1087,0.83,0.0,0.0
1985-01-09,Northern,29.59,1.1387,0.81,0.0,0.0
1985-01-09,Southern,28.08,1.2061,0.97,0.0,0.0
1985-01-10,Central,29.25,1.4326,1.13,0.0,0.0
1985-01-10,Northern,29.68,1.2748,1.06,0.0,0.0
1985-01-10,Southern,28.43,1.4919,1.3,0.0,0.0
1985-01-11,Central,29.25,1.1877,0.88,0.0,0.0
1985-01-11,Northern,29.63,1.2061,0.97,0.0,0.0
1985-01-11,Southern,28.43,1.4071,1.26,0.0,0.0
1985-01-12,Central,29.44,0.9726,0.85,0.0,0.0
1985-01-12,Northern,29.45,1.0061,0.83,0.0,0.0
1985-01-12,Southern,28.46,1.3397,1.23,0.0,0.0
1985-01-13,Central,29.23,0.6403,0.53,0.0,0.0
1985-01-13,Northern,29.33,0.8761,0.7,0.0,0.0
1985-01-13,Southern,28.12,1.0761,0.98,0.0,0.0
1985-01-14,Central,28.44,0.7248,0.54,0.0,0.0
1985-01-14,Northern,29.21,0.7381,0.58,0.0,0.0
1985-01-14,Southern,27.88,0.7474,0.71,0.0,0.0
1985-01-15,Central,28.37,0.61,0.46,0.0,0.0
1985-01-15,Northern,29.03,0.52,0.41,0.0,0.0
1985-01-15,Southern,27.8,0.7,0.7,0.0,0.0
1985-01-16,Central,28.16,0.2548,0.1,0.0,0.0
1985-01-16,Northern,28.81,0.2965,0.19,0.0,0.0
1985-01-16,Southern,27.63,0.6084,0.56,0.0,0.0
1985-01-17,Central,28.32,0.0755,0.01,0.0,0.0
1985-01-17,Northern,28.51,0.0023,0.0,0.0,0.0
1985-01-17,Southern,27.61,0.3706,0.37,0.0,0.0
1985-01-18,Central,28.49,0.4426,0.28,0.0,0.0
1985-01-18,Northern,28.49,-0.0158,0.0,0.0,0.0
1985-01-18,Southern,27.94,0.5261,0.49,0.0,0.0
1985-01-19,Central,28.47,0.3619,0.24,0.0,0.0
1985-01-19,Northern,28.54,-0.0132,0.0,0.0,0.0
1985-01-19,Southern,27.57,0.4181,0.4,0.0,0.0
1985-01-20,Central,28.46,0.5542,0.42,0.0,0.0
1985-01-20,Northern,28.41,-0.1097,0.0,0.0,0.0
1985-01-20,Southern,27.94,0.5206,0.42,0.0,0.0
1985-01-21,Central,28.53,0.6768,0.58,0.0,0.0
1985-01-21,Northern,28.58,-0.189,0.0,0.0,0.0
1985-01-21,Southern,27.51,0.7513,0.59,0.0,0.0
1985-01-22,Central,28.73,0.4084,0.3,0.0,0.0
1985-01-22,Northern,28.09,-0.4148,0.0,0.0,0.0
1985-01-22,Southern,27.37,0.229,0.22,0.0,0.0
